,yearMonth,country,firstUserDefaultChannelGroup,activeUsers,newUsers,Sessions,engagedSessions,screenPageViews,averageSessionDuration,demande_contact_realisee,first_visit,interet_par_les_catalogues,page_view,session_start,download,returningUsers,bounces,SessionsDuration,activeUsers_LY,newUsers_LY,Sessions_LY,engagedSessions_LY,screenPageViews_LY,averageSessionDuration_LY,download_LY,returningUsers_LY,bounces_LY,SessionsDuration_LY
0,2025-04 Apr,Belgium,Organic Search,4.0,1.0,4.0,4.0,14.0,121.770096,0.0,1.0,1.0,14.0,4.0,0.0,3.0,0.0,487.08038,,,,,,,,,,
1,2025-04 Apr,Indonesia,Organic Search,2.0,2.0,3.0,2.0,11.0,208.68925,0.0,2.0,0.0,11.0,3.0,0.0,0.0,1.0,417.3785,,,,,,,,,,
2,2025-04 Apr,India,Referral,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
3,2025-04 Apr,India,Organic Search,2.0,2.0,2.0,2.0,20.0,1549.4575,0.0,2.0,1.0,20.0,2.0,0.0,0.0,0.0,3098.915,,,,,,,,,,
4,2025-04 Apr,Hong Kong,Organic Search,2.0,2.0,2.0,2.0,8.0,398.20572,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,796.41144,,,,,,,,,,
5,2025-04 Apr,Hong Kong,Direct,1.0,0.0,1.0,1.0,2.0,72.33679,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,72.33679,,,,,,,,,,
6,2025-04 Apr,France,Referral,2.0,2.0,2.0,2.0,2.0,32.635246,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,65.27049,,,,,,,,,,
7,2025-04 Apr,France,Organic Search,174.0,103.0,240.0,203.0,966.0,311.29242,1.0,103.0,24.0,966.0,240.0,0.0,71.0,37.0,63192.36,,,,,,,,,,
8,2025-04 Apr,France,Direct,47.0,35.0,61.0,55.0,156.0,167.33101,0.0,35.0,7.0,156.0,61.0,0.0,12.0,6.0,9203.205,,,,,,,,,,
9,2025-04 Apr,Estonia,Direct,2.0,2.0,5.0,4.0,15.0,219.77133,0.0,2.0,0.0,15.0,5.0,0.0,0.0,1.0,879.0853,,,,,,,,,,
